source,source_weight,category,title,url,author,published_ist,published_utc,date_source,summary,full_text,extract_ok,extracted_at,feed_url
The Hindu,9,National,Preparation of Thalambralu begins at Vontimitta,https://www.thehindu.com/news/national/andhra-pradesh/preparation-of-thalambralu-begins-at-vontimitta/article70793239.ece,,2026-03-28T00:11:53+05:30,2026-03-27T18:41:53+00:00,rss,,"As part of the Sri Rama Navami Brahmotsavams, the Tirumala Tirupati Devasthanams (TTD) formally started the packing of Talambralu on Friday (March 27) at the temple for the upcoming Sri Sita Rama Kalyanam scheduled on April 1. The preparation and packing of the sacred pearl Talambralu, which hold great significance in the divine wedding to be held on April 1, began with the participation of Srivari Sevaks (volunteers). The programme started with special rituals in the temple, after which the materials were taken in a ceremonial procession to the Pilgrim Amenities Complex near the Kalyana Vedika. The ritual of grinding turmeric required for the preparation of Talambralu was performed on Wednesday. The Talambralu was prepared by mixing rice, turmeric and ghee. Along with it, pearls and sacred threads (Kankanam) meant to be tied as wrist bands were also part of the sacred gift set meant to be distributed to the devotees. About 1.60 lakh such packets are being readied on a war footing ahead of the wedding ceremony. 600 Srivari Sevaks from Kadapa and Annamayya districts were roped in for the task of readying these Talambralu packets. Meanwhile, the annual Brahmotsavam at Sri Kodandaramalayam formally began with Dhwajarohanam, the hoisting of the sacred flag atop the temple flag post. The divine wedding will fall in the middle of the nine day annual festival. Published - March 28, 2026 12:01 am IST",True,2026-03-27T21:24:40.033672+00:00,https://www.thehindu.com/news/national/?service=rss
The Hindu,9,National,Rain lashes parts of Hyderabad on Friday night,https://www.thehindu.com/news/cities/Hyderabad/rain-lashes-parts-of-hyderabad-on-friday-night/article70793915.ece,,2026-03-28T00:11:47+05:30,2026-03-27T18:41:47+00:00,rss,,,False,2026-03-27T21:24:40.046949+00:00,https://www.thehindu.com/news/national/?service=rss
The Hindu,9,National,"Be ready for challenges, students told at Holy Mary Engineering College Silver Jubilee",https://www.thehindu.com/news/national/telangana/be-ready-for-challenges-students-told-at-holy-mary-engineering-college-silver-jubilee/article70793833.ece,,2026-03-27T23:51:38+05:30,2026-03-27T18:21:38+00:00,rss,,"Hyderabad The Silver Jubilee celebrations were held at Holy Mary Engineering College on Friday, where eminent academicians, industrialists and other guests took part. Registrar of Jawaharlal Nehru Technological University - Hyderabad (JNTU-H) K. Venkateswara Rao, and Murali Bukkapatnam, Global Chairman of The Indus Enterprises, were the chief guests and they guided students on the challenges that lay ahead due to the rapid changes in technology and how they should tackle them. G. Srinivasa Raju (MD, SR Infra Group), Satya Raju Vakkalanka (CEO, Janapriya), Krishna PSV (Chairman, All India Robotics Association), Bhanu Reddy Varla (Director – Growth Strategy, Single Point Solutions), Baburao Kuchipudi (Retd. ADGP, Madhya Pradesh), and Justice B. Chandra Kumar (Retired Judge, High Court of Telangana) also spoke. College Principal Paritala Chandrasekhar presented the annual report, while Director Preeti Reddy compared the institution’s 25-year journey to landmark years in history that remain unforgettable. Chairman Arimanda Siddhartha Reddy and Secretary Vijaya Sharada Reddy traced the institution’s evolution from a small school started in 1987 to a college in 1997. Medals were presented to outstanding professors in recognition of excellence, while top-performing students received merit certificates. Cultural performances, including songs, dances and skits, added vibrancy to the event. Published - March 27, 2026 11:51 pm IST",True,2026-03-27T21:24:40.117710+00:00,https://www.thehindu.com/news/national/?service=rss
The Hindu,9,National,Malayalam Pallikoodam’s Neermathalam summer camp from April 11,https://www.thehindu.com/news/national/kerala/malayalam-pallikoodams-neermathalam-summer-camp-from-april-11/article70793765.ece,,2026-03-28T00:11:41+05:30,2026-03-27T18:41:41+00:00,rss,The camp will held every Sunday and on second Saturdays from 9.30 a.m. to 4 p.m. till May 31,"As school examinations come to a close and two months of summer vacations beckon, it is time for summer camps and various activities to not only beat the heat but also boredom. Malayalam Pallikoodam too is conducting its summer camp for students from April 11. The ‘Neermathalam’ summer camp will feature an array of activities, including seven study tours, during the two months. Uma, a young YouTuber popular with children as Umakkutty, is the camp ambassador. The camp will held every Sunday and on second Saturdays from 9.30 a.m. to 4 p.m. till May 31. Besides the study tours, interactions with well-known personalities, theatre, poetry, yoga, painting, local games, reading, general knowledge, and learning activities will be organised to engage and entertain the students. Led by singer Archana Parameswaran, journalist Amina Najuma, cartoonist T.K. Sujith, and camp coordinator Jessy Narayanan, Neermathalam will be open to 50 children in the 7-15 age group. For details, call 9188863955, 9495903995. Published - March 28, 2026 12:07 am IST",True,2026-03-27T21:24:40.130655+00:00,https://www.thehindu.com/news/national/?service=rss
The Hindu,9,National,PM calls for ‘Team India’ effort in meet with CMs over West Asia crisis,https://www.thehindu.com/news/national/pm-calls-for-team-india-effort-in-meet-with-cms-over-west-asia-crisis/article70793910.ece,,2026-03-28T00:01:47+05:30,2026-03-27T18:31:47+00:00,rss,"He recalls united response during ‘COVID-19 pandemic, when the Centre and States worked together as ‘Team India’ to mitigate the impact on supply chains, trade, and daily life","Prime Minister Narendra Modi on Friday (March 27, 2026) stressed the need for co-ordination between the Centre and States to overcome the supply chain crisis engendered by the war in West Asia. He also called for a “Team India” effort to ensure supply of fuel and fertillizers, and a crackdown on hoarders and rumour-mongers. It was the first such meeting held by Mr. Modi with Chief Ministers and Lieutenant-Governors of non-poll-bound States and Union Territories amid the ongoing conflict in West Asia that began on February 28. Read: Iran-Israel war LIVE Among those who attended the meeting were Andhra Pradesh Chief Minister N. Chandrababu Naidu, Uttar Pradesh’s Yogi Adityanath, Telangana’s Revanth Reddy, Punjab’s Bhagwant Mann, Gujarat’s Bhupendra Patel, Jammu and Kashmir’s Omar Abdullah, Himachal Pradesh’s Sukhvinder Singh Sukhu, and Arunachal Pradesh’s Pema Khandu. Karnataka Food and Supplies Minister K.H. Muniyappa attended the meeting instead of Chief Minister Siddharamaiah. Defence Minister Rajnath Singh, Home Minister Amit Shah, Cabinet Secretary T.V. Somanathan and Home Secretary Govind Mohan were also present in the meeting. According to a release issued after the meeting, Mr. Modi said that India had prior experience in dealing with similar global disruptions. “He recalled the collective response during the COVID-19 pandemic, when the Centre and States worked together as ‘Team India’ to mitigate the impact on supply chains, trade, and daily life. He underscored that the same spirit of cooperation and coordination remains India’s greatest strength in navigating the present circumstances,” stated the release. Stress was laid on the need for advance planning in agriculture sector, particularly in monitoring fertilizer storage and distribution, so that farmers do not face difficulties during the upcoming Kharif season. He called for special focus on border and coastal States to address any emerging challenges related to shipping, essential supplies, and maritime…",True,2026-03-27T21:24:40.219415+00:00,https://www.thehindu.com/news/national/?service=rss
The Hindu,9,National,"Thalassemia centres in Vijayawada, Anantapur soon: Nara Bhuvaneswari",https://www.thehindu.com/news/national/andhra-pradesh/thalassemia-centres-in-vijayawada-anantapur-soon-nara-bhuvaneswari/article70793183.ece,,2026-03-28T00:01:46+05:30,2026-03-27T18:31:46+00:00,rss,,"Nara Bhuvaneswari, managing trustee of the NTR Memorial Trust, on Friday (March 27) announced plans to expand welfare initiatives, including setting up thalassemia centres in Vijayawada and Anantapur. Concluding her four-day tour of Kuppam constituency, Ms. Bhuvaneswari said the Trust, inspired by N. T. Rama Rao and supported by Chief Minister N. Chandrababu Naidu, continues to aid the underprivileged through health, education and livelihood programmes. The Trust has so far served over 23 lakh people through health camps, spending ₹23 crore, and operates blood banks in Hyderabad, Visakhapatnam, Rajamahendravaram and Tirupati. A blood bank in Vijayawada is also in the pipeline, she said. Bhuvaneswari also announced a run in Hyderabad on May 10 to raise awareness on thalassemia. She distributed sewing machines, pushcarts and hearing aids, and stressed that women’s economic empowerment remains a key priority. She thanked donors and staff for their continued support. Published - March 28, 2026 12:00 am IST",True,2026-03-27T21:24:40.227049+00:00,https://www.thehindu.com/news/national/?service=rss
The Hindu,9,National,Youth held for bike stunts near Secretariat,https://www.thehindu.com/news/national/telangana/youth-held-for-bike-stunts-near-secretariat/article70792936.ece,,2026-03-28T00:01:41+05:30,2026-03-27T18:31:41+00:00,rss,,"HYDERABAD A 23-year-old youth was arrested for allegedly performing dangerous motorcycle stunts near Lumbini Park and the Secretariat, creating panic among the public. The accused, Ibrahim Baig, a resident of Old Malakpet, was allegedly carrying out reckless stunts in high-security zones and filming them to post on social media platforms. Police said the acts posed a serious risk to public safety and disrupted movement in the area. Based on specific information and surveillance, the Saifabad police apprehended the accused. The motorcycle used for the stunts and the mobile phone used to record the videos were seized. Officials said strict action would be taken against those engaged in such activities that endanger public safety. Published - March 27, 2026 11:59 pm IST",True,2026-03-27T21:24:40.311133+00:00,https://www.thehindu.com/news/national/?service=rss
The Hindu,9,National,Haystacks gutted in Anantapur,https://www.thehindu.com/news/national/andhra-pradesh/haystacks-gutted-in-anantapur/article70793049.ece,,2026-03-28T00:01:43+05:30,2026-03-27T18:31:43+00:00,rss,,"A major fire broke out in Palthur village of Vidapanakal mandal in Uravakonda constituency on Friday, gutting several haystacks belonging to local farmers. The cause for the mishap was said to be intense summer heat. Minister for Finance Payyavula Keshav responded to the incident after being alerted and coordinated firefighting operations. Fire engines were rushed in from Rayadurgam, Kalyandurg and nearby areas, helping contain the blaze before it could spread further. The Minister also directed electricity officials to ensure a three-phase power supply to support water pumping for dousing the flames. Power was restored by evening, aiding operations. Villagers thanked the Minister for his prompt intervention, which prevented wider damage and safeguarded remaining fodder stocks. Officials said no casualties were reported, though losses to stored fodder were significant. Revenue authorities are assessing damage and are expected to submit a report for possible compensation to affected farmers in the coming days. Published - March 28, 2026 12:01 am IST",True,2026-03-27T21:24:40.317374+00:00,https://www.thehindu.com/news/national/?service=rss
The Hindu,9,National,Sri Rama Navami festivities in full swing at Valmikipuram temple,https://www.thehindu.com/news/national/andhra-pradesh/sri-rama-navami-festivities-in-full-swing-at-valmikipuram-temple/article70792664.ece,,2026-03-28T00:01:38+05:30,2026-03-27T18:31:38+00:00,rss,,"Grand Sri Rama Navami celebrations unfolded at the historic Lord Pattabhi Ramaswamy Temple in Valmikipuram of Annamayya district on Friday (March 27). Administered by the Tirumala Tirupati Devasthanams (TTD), the 12th-century shrine is drawing thousands of devotees from across Rayalaseema and neighbouring Tamil Nadu and Karnataka. Elaborate arrangements were made in coordination with the district police to ensure the smooth conduct of the festivities amid the heavy influx of pilgrims. Steeped in legend, the temple is believed to have been consecrated by sage Valmiki and later flourished under the patronage of the Chola, Pallava, and Vijayanagara rulers and received support during the British era. Historical accounts also recall visits by rulers such as Shivaji, Tipu Sultan and Krishnadevaraya, and their generous donations to the temple. During the British colonial period, the temple had enjoyed the patronage of the administrative officers in Kadapa and erstwhile Madras. From the early hours, special ‘abhishekam’ rituals were performed, followed by vibrant floral decorations, silk adornments and ornaments. A major highlight is that this is the only temple in India to house the idols of Lord Rama and Sita along with Lakshmana, Bharatha, Shatrughna and Hanuman. Sita Rama Kalyanotsavam, the cynosure of the festivities, is scheduled for March 29, while thousands of devotees are expected to participate in the grand ‘Rathothsavam’ procession on March 30. Published - March 27, 2026 11:59 pm IST",True,2026-03-27T21:24:40.355689+00:00,https://www.thehindu.com/news/national/?service=rss
The Hindu,9,National,NIA gets 10-day custody of 7 foreign nationals held for suspected Myanmar links,https://www.thehindu.com/news/national/nia-gets-10-day-custody-of-7-foreign-nationals-held-for-suspected-myanmar-links/article70793805.ece,,2026-03-28T00:11:40+05:30,2026-03-27T18:41:40+00:00,rss,NIA has accused them of supplying weapons to ethnic armed groups and training them,"A Delhi court on Friday (March 27, 2026) extended by 10 days the remand of seven foreign nationals who are in the custody of the National Investigation Agency (NIA) over suspected links to ethnic armed groups in Myanmar. The agency had sought a 15-day custody for their interrogation. Special judge Prashant Sharma, who conducted the proceedings at the NIA headquarters citing the sensitive nature of the investigation and its possible international ramifications, directed that the accused be produced before the court again on April 6. The accused are U.S. national Matthew Aaron Van Dyke and six Ukrainian nationals — Hurba Petro, Slyviak Taras, Ivan Sukmanovskyi, Stefankiv Marian, Honcharuk Maksim, and Kaminskyi Viktor. They were arrested earlier this month. The NIA said they were involved in supplying weapons and military hardware to ethnic armed groups operating in Myanmar, and training them. The case against them was registered under Section 18 (conspiracy) of the Unlawful Activities (Prevention) Act, along with relevant provisions of the Bharatiya Nyaya Sanhita. The court sources said the accused moved a plea on Friday seeking the appointment of an independent translator to ensure fair proceedings. According to the NIA, the accused entered India on tourist visas and travelled to Guwahati before proceeding to Mizoram without obtaining the required permits. They are said to have then crossed into Myanmar illegally to train ethnic armed olrganisations. Published - March 28, 2026 12:08 am IST",True,2026-03-27T21:24:40.396654+00:00,https://www.thehindu.com/news/national/?service=rss
